name,name_ja,description,description_ja,image
large,大きい,,,large
small,小さい,,,small
high,高い,,,high
low,低い,,,low
long,長い,,,long
short,短い,,,short
wide,広い,,,wide
narrow,狭い,,,narrow
far,遠い,,,far
near,近い,,,near
thick,太い,,,thick
thing,細い,,,thing
many,多い,,,many
few,少ない,,,few
heavy,重い,,,heavy
light,軽い,,,light
hard,固い,,,hard
soft,柔らかい,,,soft
dense,濃い,,,dense
sparse,薄い,,,sparse
fast,早い,,,fast
slow,遅い,,,slow
move,動く,,,move
stop,止まる,,,stop
strong,強い,,,strong
weak,弱い,,,weak
hot,熱い,,,hot
cold,冷たい,,,cold
expensive,高い,,,expensive
cheap,安い,,,cheap
new,新しい,,,new
old,古い,,,old
clean,綺麗,,,clean
dirty,汚い,,,dirty
love,好き,,,love
hate,嫌い,,,hate
good,良い,,,good
bad,悪い,,,bad
bright,明るい,,,bright
dark,暗い,,,dark
