name,name_ja,description,description_ja,image
happy,幸せ,,,happy
sad,悲しい,,,sad
thank you,ありがとう,,,thank you
good monring,おはようございます,,,good monring
good afternoon,こんにちは,,,good afternoon
good evening,こんばんは,,,good evening
good bye,さようなら,,,good bye
see you again,またね,,,see you again
nice to meet you,はじめまして,,,nice to meet you
how are you?,お元気ですか？,,,how are you?
Let's eat,いただきます,,,Let's eat
thank you for the treat,ごちそうさま,,,thank you for the treat
i'm sorry,ごめんなさい,,,i'm sorry
it was delicious,おいしかったです,,,it was delicious
are you all right?,大丈夫ですか？,,,are you all right?
